timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:42,3;151;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:42,5;152;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:42,7;153;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:42,9;154;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:43,1;155;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:43,3;156;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:43,5;157;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:43,7;158;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:43,8;159;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:44,0;160;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:44,2;161;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:44,4;162;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:44,6;163;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:44,8;164;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
